part_id,name,material,qty,dimensions_mm,notes
A1,แผ่นฐานล่าง,อะคริลิก 3mm,1,180×260,รูยึดมอเตอร์+ขา 6 จุด
A2,แผ่นดาดฟ้า,อะคริลิก 3mm,1,160×240,รูสายไฟ+ยึดรีโมทบอร์ด
A3,เพลทยึดมอเตอร์ซ้าย,อะคริลิก 3mm,1,70×55,M1 gear motor
A4,เพลทยึดมอเตอร์ขวา,อะคริลิก 3mm,1,70×55,M2 gear motor
A5,แผงข้างซ้าย,อะคริลิก 3mm,1,110×55,สูงตัวเครื่อง
A6,แผงข้างขวา,อะคริลิก 3mm,1,110×55,สูงตัวเครื่อง
A7,ถาดแบตเตอรี่,อะคริลิก 3mm,1,95×58,AA×4 หรือ 6
A8,คันโยกขา (แผ่น),อะคริลิก 3mm,6,38×48,คู่กับ P2
A9,ลิงก์ขา,อะคริลิก 3mm,6,12×55,เชื่อมคันโยก–เท้า
A10,เท้าขา,อะคริลิก 3mm,6,28×18,กลาง 2 ขาใส่ยางซิลิโคน
A11,กระบะเก็บลูก (ฐาน),อะคริลิก 3mm,1,120×45,ยึดกับแขนเหวี่ยง
A12,กระบะเก็บลูก (ข้าง),อะคริลิก 3mm,2,45×35,ประกอบเป็นราง
P1,แขนเหวี่ยงเก็บลูก,PLA/PETG 3D,1,~90mm arm,M3 swing motor
P2,ฮับคันโยกขา,PLA/PETG 3D,6,Ø8 bore,ยึดเพลามอเตอร์
P3,ยึดเพลามอเตอร์,PLA/PETG 3D,2,per motor,ล็อกเพลาเกียร์
P4,ฝาครอบมอเตอร์เหวี่ยง,PLA/PETG 3D,1,~40×30,M3
P5,หัวดูด/ผลักลูก,PLA/PETG 3D,1,front scoop,ปรับมุมได้
M1,มอเตอร์เกียร์ซ้าย,DC ≤6V,1,~60RPM,ขับขาซ้าย 3 ขา
M2,มอเตอร์เกียร์ขวา,DC ≤6V,1,~60RPM,ขับขาขวา 3 ขา
M3,มอเตอร์เหวี่ยง,DC ≤6V,1,~30RPM,เก็บลูกปิงปอง
HW1,สกรู M3×12,สแตนเลส,24,,
HW2,สกรู M3×8,สแตนเลส,12,,
HW3,น็อต M3,สแตนเลส,36,,
HW4,ยางซิลิโคนเท้า,ยาง 5mm,2,Ø15,ขากลางซ้าย-ขวา
ELEC1,รีโมทมีสาย,ชุดสำเร็จ,1,สาย 2m,บังคับ 4 ทิศ
ELEC2,แบต AA,1.5V,4-6,ถาด A7,
